Gene Symbol,Mean hypoTOs,Mean hypo,log2FC,t-statistic,raw p-value,adjusted p-value,significance classification,regulation direction
ADRA2A,0.7159514908687101,0.013948505647098819,0.7020029852216113,90.4272546257181,1.5013329275846404e-07,0.004901852008563851,Upregulated,Upregulated
DMRTA2,1.795068591265539,0.08801537246927905,1.70705321879626,73.19695797182372,5.240765078959714e-07,0.008555548991401733,Upregulated,Upregulated
EYA2,0.15092281196611526,2.1071061494046597,-1.9561833374385444,-49.97426195360878,9.869118046626894e-07,0.010740890140745604,Downregulated,Downregulated
CHST9,0.02620919834578681,1.8020081589832768,-1.77579896063749,-46.16585988919405,1.3925561308605733e-06,0.011366739418149429,Downregulated,Downregulated
ZNF521,3.7543259721146245,6.526893324057237,-2.772567351942613,-73.12128134568601,2.5318020358621736e-06,0.016532667294179994,Downregulated,Downregulated
HPCA,3.521495846080325,0.5005036629973996,3.0209921830829254,72.91494397174164,4.932921500135281e-06,0.016939097051339898,Upregulated,Upregulated
CA8,2.3201875198823796,0.057024324694087525,2.2631631951882922,39.33201806193618,3.990448269461869e-06,0.016939097051339898,Upregulated,Upregulated
ADCYAP1,1.578535949671643,0.05678896970971701,1.5217469799619259,35.73740212899663,5.188084854927993e-06,0.016939097051339898,Upregulated,Upregulated
LINC01109,1.2817702948805987,0.025837911750326906,1.2559323831302718,34.032328021908604,4.46400117013567e-06,0.016939097051339898,Upregulated,Upregulated
SIX2,0.6255471558002517,0.0842629197515286,0.5412842360487231,42.44655577504032,4.894765461279531e-06,0.016939097051339898,Upregulated,Upregulated
KCNQ3,2.939391964860743,0.36349438375593746,2.5758975811048055,41.037410466818905,6.817079405144401e-06,0.01854813688149706,Upregulated,Upregulated
LINC00461,7.671316031848157,5.481274700042021,2.1900413318061362,30.97408935507451,6.473669230319751e-06,0.01854813688149706,Upregulated,Upregulated
RHOJ,0.9890086584884344,2.9909340731265215,-2.001925414638087,-40.563240812021355,8.141020960488772e-06,0.018986023882854173,Downregulated,Downregulated
RPL24,8.969666624175908,7.713537121048624,1.2561295031272834,31.210877576647313,7.748535764875843e-06,0.018986023882854173,Upregulated,Upregulated
TFPI,1.0672414206518455,4.20316531054387,-3.1359238898920245,-30.327698566590822,9.809360779852062e-06,0.020017226841385617,Downregulated,Downregulated
DCT,0.096313312755244,2.341686085067146,-2.245372772311902,-28.31654110550089,9.322614713102348e-06,0.020017226841385617,Downregulated,Downregulated
HOXB4,0.004323976056663769,0.2296028182055024,-0.22527884214883864,-44.514653240177914,1.0546512119042447e-05,0.02025550709921976,Not Significant,Downregulated
TNC,3.4460164329329985,7.519119295116813,-4.073102862183815,-25.232976771119677,1.465199459748767e-05,0.022780363028951065,Downregulated,Downregulated
COPG2,3.6586264055340485,5.3300129463376456,-1.671386540803597,-26.817084752204135,1.433841173177849e-05,0.022780363028951065,Downregulated,Downregulated
NEUROG2,1.6547084029983747,0.05190327162534886,1.6028051313730258,29.13032827504607,1.3681379724801878e-05,0.022780363028951065,Upregulated,Upregulated
RGS11,1.1618169266399336,2.0697328112462983,-0.9079158846063646,-25.44926940006716,1.4210314428006866e-05,0.022780363028951065,Downregulated,Downregulated
LINC00966,5.916243433557567,4.464292197095763,1.4519512364618041,24.55496297675506,1.6323700932584275e-05,0.02422585615676712,Upregulated,Upregulated
SPON1,2.501649300135841,7.095313967714103,-4.5936646675782615,-28.489731443817224,1.961606345057657e-05,0.02526050574444128,Downregulated,Downregulated
GFRA1,2.220151431177859,5.208404681335947,-2.9882532501580874,-29.234349648096774,2.2432223848307117e-05,0.02526050574444128,Downregulated,Downregulated
PAPPA2,3.0519173846978416,0.14353198063418451,2.908385404063657,42.14527279148302,1.983005413903496e-05,0.02526050574444128,Upregulated,Upregulated
ID3,2.6908645997393266,4.549177759418918,-1.8583131596795917,-22.846081741640436,2.1746070843230718e-05,0.02526050574444128,Downregulated,Downregulated
PLCD1,1.9763267358937637,3.2962829817840436,-1.3199562458902798,-34.112983862938535,2.243659009460328e-05,0.02526050574444128,Downregulated,Downregulated
H2BFS,0.4885264683229142,1.6996684260189214,-1.2111419576960072,-26.40500408586569,1.9884261613817647e-05,0.02526050574444128,Downregulated,Downregulated
CBLN1,1.358470486451372,0.354606293197258,1.003864193254114,25.218114128985054,2.0583959677562437e-05,0.02526050574444128,Upregulated,Upregulated
DLX1,2.3058596492824184,5.598219067861787,-3.2923594185793683,-22.629673171922843,2.3777252082642916e-05,0.025798670515581164,Downregulated,Downregulated
SLIT2,3.987128276938782,6.849955597940905,-2.8628273210021233,-27.82702131607764,2.44949092184691e-05,0.025798670515581164,Downregulated,Downregulated
LMO3,10.351666262032426,6.936096038586382,3.4155702234460437,26.360452000553813,3.201999608329288e-05,0.02581756696602674,Upregulated,Upregulated
DLK1,3.277923413361902,5.8428809378707065,-2.5649575245088045,-21.196432089275614,3.148268186311343e-05,0.02581756696602674,Downregulated,Downregulated
GPR176,1.314269660575989,3.8007334459952937,-2.486463785419305,-29.808087001831932,2.9627706032648093e-05,0.02581756696602674,Downregulated,Downregulated
CXorf57,3.5085941267787457,5.173836757217187,-1.6652426304384416,-21.15186723447766,3.183786387611766e-05,0.02581756696602674,Downregulated,Downregulated
PTGDS,4.844582269993369,3.2218021091628226,1.6227801608305463,26.26416483983122,3.0085731748821327e-05,0.02581756696602674,Upregulated,Upregulated
RPS14,8.922831950745698,7.650450862514281,1.272381088231417,27.106416606237218,2.6040243599948947e-05,0.02581756696602674,Upregulated,Upregulated
SSTR1,1.3827342646679888,0.20533444727651262,1.1773998173914761,30.16223311157731,2.92412414836871e-05,0.02581756696602674,Upregulated,Upregulated
PDIA3,5.4240228235345525,6.379885774967213,-0.9558629514326604,-22.462349831894187,2.8799480785889037e-05,0.02581756696602674,Downregulated,Downregulated
GNE,3.002373862023284,3.773778964490713,-0.7714051024674293,-22.146895350396072,3.2420221917522097e-05,0.02581756696602674,Downregulated,Downregulated
KIAA1239,0.21154158358034134,0.006620431955780524,0.20492115162456082,24.510434701894816,2.7631488841644905e-05,0.02581756696602674,Not Significant,Upregulated
GSN,3.187478255734234,5.329001129843857,-2.1415228741096235,-20.799084801050068,3.389482537102799e-05,0.02634919162771581,Downregulated,Downregulated
USP53,2.285126011021035,3.7512816957921657,-1.4661556847711306,-20.88306242091036,3.7269230399356866e-05,0.028298613314860502,Downregulated,Downregulated
OLIG1,0.16828415589612364,2.1415319257310665,-1.9732477698349429,-30.113103887310178,3.815487434208948e-05,0.02831265107430049,Downregulated,Downregulated
STX3,2.5343961761363585,1.677075859092362,0.8573203170439965,19.005149345164966,4.530481623019678e-05,0.032549544774371435,Upregulated,Upregulated
ACSF3,2.5114934088936347,3.0985178520666623,-0.5870244431730276,-28.91658899312685,4.585847043249881e-05,0.032549544774371435,Downregulated,Downregulated
ISL1,0.31048511747352175,3.3741530219519706,-3.0636679044784487,-23.588058533138007,4.78684676239575e-05,0.03325330782813218,Downregulated,Downregulated
TPX2,3.1100335570602797,4.597605694545332,-1.4875721374850523,-28.569566343510544,4.9134152165949126e-05,0.03342145975454664,Downregulated,Downregulated
CCDC64,3.7691851134743306,2.9530640066604814,0.8161211068138492,26.8530614312924,5.1528674996175374e-05,0.03433492323724747,Upregulated,Upregulated
WWTR1,2.031344334155645,4.362500293195506,-2.3311559590398607,-18.00255161354125,5.6623228802053106e-05,0.03697496840774068,Downregulated,Downregulated
