Gene Symbol,Mean log2(TPM+1) hypoTOs,Mean log2(TPM+1) hypo,Difference-of-log-means log2FC,Mean raw TPM hypoTOs,Mean raw TPM hypo,Log2 ratio-of-raw-means,Direction agreement,Absolute difference between methods
ADRA2A,0.716,0.0139,0.702,0.6426,0.0097,6.0312,Agree,5.3292
DMRTA2,1.7951,0.088,1.7071,2.4709,0.063,5.2911,Agree,3.5841
EYA2,0.1509,2.1071,-1.9562,0.1107,3.3099,-4.9013,Agree,2.9451
CHST9,0.0262,1.802,-1.7758,0.0187,2.4884,-7.0506,Agree,5.2748
ZNF521,3.7543,6.5269,-2.7726,12.4972,91.2598,-2.8684,Agree,0.0958
CA8,2.3202,0.057,2.2632,3.9971,0.0413,6.592,Agree,4.3289
LINC01109,1.2818,0.0258,1.2559,1.4322,0.0184,6.2747,Agree,5.0188
ADCYAP1,1.5785,0.0568,1.5217,1.9877,0.0407,5.6069,Agree,4.0852
SIX2,0.6255,0.0843,0.5413,0.5428,0.0602,3.1705,Agree,2.6293
HPCA,3.5215,0.5005,3.021,10.4856,0.4156,4.6567,Agree,1.6357
KCNQ3,2.9394,0.3635,2.5759,6.6806,0.2873,4.5387,Agree,1.9628
LINC00461,7.6713,5.4813,2.19,203.0902,43.7253,2.2156,Agree,0.0255
RHOJ,0.989,2.9909,-2.0019,0.9864,6.9528,-2.8172,Agree,0.8153
RPL24,8.9697,7.7135,1.2561,500.5715,208.9664,1.2603,Agree,0.0042
DCT,0.0963,2.3417,-2.2454,0.0707,4.0765,-5.8474,Agree,3.6021
TFPI,1.0672,4.2032,-3.1359,1.1017,17.4583,-3.986,Agree,0.85
TNC,3.446,7.5191,-4.0731,9.9643,183.6201,-4.2038,Agree,0.1307
NEUROG2,1.6547,0.0519,1.6028,2.1514,0.0372,5.8497,Agree,4.2469
RGS11,1.1618,2.0697,-0.9079,1.2381,3.1993,-1.3696,Agree,0.4617
COPG2,3.6586,5.33,-1.6714,11.6423,39.2564,-1.7535,Agree,0.0822
